source,target,relation
The Outlander Who Caught the Wind,Mondstadt,isActOf
The Outlander Who Caught the Wind,Archon Quest,questType
The Outlander Who Caught the Wind,Prologue,isPartOfChapter
The Outlander Who Caught the Wind,I,actNumber
The Outlander Who Caught the Wind,N/A,previousQuest
The Outlander Who Caught the Wind,For a Tomorrow Without Tears,nextQuest
The Outlander Who Caught the Wind,Wanderer's Trail,requires
The Outlander Who Caught the Wind,100,rewards
The Outlander Who Caught the Wind,Paimon,introduces
The Outlander Who Caught the Wind,Amber,introduces
The Outlander Who Caught the Wind,Kaeya,introduces
The Outlander Who Caught the Wind,Jean,introduces
The Outlander Who Caught the Wind,Lisa,introduces
The Outlander Who Caught the Wind,16,numberOfCharacters
The Outlander Who Caught the Wind,3,numberOfAchievements
For a Tomorrow Without Tears,Prologue,isActIn
For a Tomorrow Without Tears,Archon Quest,questType
For a Tomorrow Without Tears,The Outlander Who Caught the Wind,previousQuest
For a Tomorrow Without Tears,Song of the Dragon and Freedom,nextQuest
For a Tomorrow Without Tears,10,requiresAdventureRank
For a Tomorrow Without Tears,100,rewards
Traveler,Jean,reportsTo
Masked Woman,Kill the dragon,suggests
Jean,Masked Woman,dismisses
Stormterror,Dvalin,is
Dvalin,Four Winds,isOneOf
Masked Woman,Fatui Diplomat,is
Traveler,Gem,remembers
Lisa,Gem,studies
Gem,Harmful Energy,emits
Jean,Honorary Knight,grants
Paimon,Venti,identifies
Venti,Song of Stormterror,sings
Gem,Purified,is
Venti,Traveler,recognizes
Venti,Meet at Windrise,suggests
Traveler,Eye of the Storm,encounters
Dvalin,Degradation,suffersFrom
Abyss Order,Dvalin's Degradation,takesAdvantageOf
Venti,Barbatos,is
Barbatos,Anemo Archon,is
Gotelinde,Papers,requests
Traveler,Holy Lyre der Himmel,steals
Fatui Electro Cicin Mage,Lyre,takes
Diluc,Traveler,helps
Diluc,Contacts,organizes
Signora,Traveler,threatens
Lyre,Teardrop Crystals,needs
Party,Starsnatch Cliff,headsTo
Abyss Mage,Dvalin,convinces
For a Tomorrow Without Tears,16,hasCharacters
For a Tomorrow Without Tears,3,hasAchievements
Adventure Rank (AR),player account progression system,is a
Adventure Rank (AR),Genshin Impact,is in
Players,World Level (WL),can ascend
World Level (WL) ascension,automatic,can be
World Level (WL) ascension,Ascension Quest,can be triggered by
Maximum Adventure Rank,60,is
Maximum World Level,8,is
Adventure Rank increase,rewards,grants
Rewards,Adventurers' Guild,are claimed from
Ascension Quests,rewards,grant
Adventure Rank,Adventure EXP,is raised using
Adventure EXP,Quests,is obtained from
Adventure EXP,Chests,is obtained from
Adventure EXP,Adventurer Handbook,is obtained from
Adventure EXP,spending Original Resin,is obtained from
Adventure EXP after AR 60,Mora,is converted to
Mora conversion rate after AR 60,1:10,is
Uncompleted Ascension Quest,accumulation of Adventure EXP,causes
Accumulated Adventure EXP,Ascension Quest completion,is applied after
World Level increase,difficulty of Enemies,increases
World Level increase,rewards from Enemies,increases
World Level increase,difficulty of Normal Bosses,increases
World Level increase,rewards from Normal Bosses,increases
World Level increase,rewards from Ley Line Outcrops,increases
Andrius,World Level,is the only Weekly Boss that scales with
Co-op Mode,equal or higher World Level than host,requires
World Level decrease,World Level 3,becomes available at
World Level decrease,level of Ley Line Blossoms,lowers
World Level decrease,level of opponents,lowers
World Level decrease,rewards from opponents,lowers
World Level adjustment,once every 24 hours,is limited to
Adventure Rank increase,various systems and functionality,unlocks
Adventure Rank,increasing maximum level of Characters,is required for
Adventure Rank,increasing maximum level of Weapons,is required for
Adventure Rank,new Game Systems,unlocks
Adventure Rank,Character Ascension Phases,is required for
Adventure Rank,Weapon Ascension Phases,is required for
Maximum Adventure Rank for quests,quest type,is capped based on
Adventurers' Guild Rewards,Katheryne,are claimable from
Katheryne,Adventurers' Guild,is located at
Song of the Dragon and Freedom,Prologue,is the third act in the
Song of the Dragon and Freedom,Archon Quests,is part of
Diluc,Abyss Order,brings information about
Venti,The Seven,is one of
Venti,his people's help,relies on
Abyss Order,Hilichurls,manipulates
Abyss Order,single leader,has a
Dvalin,ancient ruins,resides in
Traveler,Teardrop Crystal,can purify
Hilichurls,elemental areas,avoid
Venti,barrier,dispels
Ancient ruins,old Mondstadt,are part of
Anemo Archon,Decarabian,was the tyrant
Traveler,Dvalin,purges
Jean,people and Dvalin,clears up misunderstanding between
Knights,Hilichurl attack,repelled
Traveler,Teyvat,will travel throughout
Traveler,The Seven,will meet
Traveler,damaged lyre,gives
Venti,lyre,repairs
Signora,Venti's Gnosis,rips out
Traveler,Find the Geo Archon,goal
Venti,Anemo Archon,identity
Signora,Fatui Harbingers,affiliation
Tsaritsa,The Seven,affiliation
Tsaritsa,Cryo Archon,role
Geo Archon,Rite of Descension,event
Traveler,Liyue,location
Of the Land Amidst Monoliths,"Chapter I, Act I",Liyue's Quest Act
Of the Land Amidst Monoliths,Archon Quest,Quest Type
Of the Land Amidst Monoliths,Song of the Dragon and Freedom,Previous
Of the Land Amidst Monoliths,"Farewell, Archaic Lord",Next
Of the Land Amidst Monoliths,Adventure Rank 23,Requirements
Of the Land Amidst Monoliths,100,Rewards
Traveler,Paimon,goes to Liyue with
Ningguang,Rex Lapis,summons
Millelith,suspects,apprehends
Childe,Harbingers,is one of the
Childe,Northland Bank,works at
Traveler,adepti,needs the word of
Traveler,Moon Carver,meets
Moon Carver,Millelith,asks Traveler to remove
Traveler,"Cloud Retainer, Mountain Shaper, and Demon Conqueror",seeks out
Demon Conqueror,Xiao,real name
Xiao,Almond Tofu,enjoys
Verr Goldet,Wangshu Inn,works at
Traveler,Satisfying Salad,makes
Ruin Hunter,ghost,possessed by
Traveler,Mountain Shaper,finds
Mountain Shaper,Mt. Hulao,lives on
Mountain Shaper,karst flowers,plants
Traveler,Cloud Retainer,finds
Cloud Retainer,Mt. Aocang,lives on
Traveler,"Matsutake Meat Rolls, Jewelry Soup, and Mora Meat",offers
Traveler,Childe,informs
Childe,Traveler,tells
Liyue Qixing,anyone,refusing
Paimon,they came to visit The Seven,blurts
Childe,Paimon's statement,takes note
Childe,Traveler,tells
Childe,Traveler,can help
Baizhu,Everlasting Incense,offers to sell
Traveler,Childe,goes to
Childe,incense and coconut milk,agrees to pay for
Childe,Ekaterina,asks
Ekaterina,Exuvia at the Golden House,informs about
Zhongli,Traveler,asks
Zhongli,Third-Round Knockout,tells to meet at
Iron Tongue Tian,Ningguang,tells story about
Ganyu,Traveler,introduces self to
Ningguang,Traveler,extends invitation to
Zhongli,Dihua Marsh,tells to meet at
Traveler,Zhongli,seeks out
Zhongli,Northland Bank,is at
Zhongli,Signora,speaks to
Zhongli,Childe,speaks to
Zhongli,Geo Archon,is revealed as
Zhongli,series of events,instigated
Zhongli,Tsaritsa,forged a contract with
Zhongli,Signora,hands Gnosis to
Qixing,Rite of Parting,hosts
Traveler,Rite of Parting,attends
Keqing,Traveler,asks
Traveler,put up missing posters,asks to
Traveler,Zhongli,speaks to
Inazuma,sealed off,has been
Baal,Vision Hunt Decree,has issued
Bough Keeper: Dainsleif,World,Quest Type
Bough Keeper: Dainsleif,Chapter I: Act IV - Prelude,Chapter
Bough Keeper: Dainsleif,Complete A New Star Approaches,Requirements
Bough Keeper: Dainsleif,"Mondstadt, Mondstadt",Starting Location
Bough Keeper: Dainsleif,The Fond Farewell,Previous Quest
Bough Keeper: Dainsleif,Involuntary Sacrifice,Next Quest
Bough Keeper: Dainsleif,Abyssal Traces,Domain
Bough Keeper: Dainsleif,"8006038, 10011147",Rewards Characters
