source,target,relation
Traveler,The Outlander Who Caught the Wind,participates_in
The Outlander Who Caught the Wind,Wanderer's Trail,includes
Traveler,Teyvat,from
Paimon,Teyvat,from
Traveler,Paimon,knows
Traveler,Unknown Entity,knows
Traveler,Unknown Entity,opposes
Traveler,powers,has_attribute
Unknown Entity,Traveler's Sibling,opposes
The Outlander Who Caught the Wind,Mondstadt,occurs_in
The Outlander Who Caught the Wind,Starfell Lake,occurs_in
The Outlander Who Caught the Wind,Cape Oath,occurs_in
Traveler,Amber,knows
Amber,Knights of Favonius,member_of
Traveler,Stormterror,knows
Traveler,Stormterror,opposes
Traveler,Kaeya,knows
Kaeya,Knights of Favonius,member_of
Traveler,Jean,knows
Jean,Knights of Favonius,member_of
Traveler,Lisa,knows
Lisa,Knights of Favonius,member_of
The Outlander Who Caught the Wind,16 Characters,has_attribute
The Outlander Who Caught the Wind,3 Achievements,has_attribute
Adventure Rank,Progression System,has_attribute
Adventure Rank,Genshin Impact,from
Player,Adventure Rank,has
World Level,Ascension Quest,has_attribute
Adventure Rank,60,has_attribute
World Level,9,has_attribute
Player,Rewards,has
Rewards,Adventurers' Guild,from
Player,Adventure Rank,has
Adventure Rank,Adventure EXP,has_attribute
Adventure EXP,Quests,from
Adventure EXP,Chests,from
Adventure EXP,Adventurer Handbook,from
Adventure EXP,Original Resin,from
Adventure EXP,Mora,has_attribute
Player,Adventure Rank Ascension Quest,participates_in
World Level,Enemies,has_attribute
World Level,Normal Bosses,has_attribute
World Level,Ley Line Outcrops,has_attribute
Andrius,Weekly Boss,plays_role
Player,World Level Ascension Quest,participates_in
Player,Co-Op Mode,participates_in
World Level,Ley Line Blossoms,has_attribute
World Level,Opponents,has_attribute
Characters,Level,has_attribute
Weapons,Level,has_attribute
Characters,Ascension,has_attribute
Weapons,Ascension,has_attribute
Quests,Adventure Rank,has_attribute
Adventurers' Guild Rewards,Katheryne,from
Katheryne,Adventurers' Guild,member_of
Adventure Rank,Adventure EXP,has_attribute
Song of the Dragon and Freedom,Quest,plays_role
Song of the Dragon and Freedom,Prologue,includes
Prologue,Chapter,plays_role
Song of the Dragon and Freedom,Act III,plays_role
Song of the Dragon and Freedom,For a Tomorrow Without Tears,after
Of the Land Amidst Monoliths,Song of the Dragon and Freedom,after
Diluc,Abyss Order,knows
Venti,The Seven,member_of
Dvalin,ancient ruins,occurs_in
Traveler,Teardrop Crystal,has
Hilichurls,Stormterror's Lair,occurs_in
Abyss Order,Venti,opposes
Decarabian,Anemo Archon,plays_role
Abyss Order,Dvalin,opposes
Dvalin,Abyss Order,opposes
Hilichurls,Mondstadt,opposes
Kaeya,Abyss Order,opposes
Abyss Order,single leader,has_attribute
Traveler,Song of the Dragon and Freedom,participates_in
Venti,Song of the Dragon and Freedom,participates_in
Jean,Song of the Dragon and Freedom,participates_in
Diluc,Song of the Dragon and Freedom,participates_in
Dvalin,Song of the Dragon and Freedom,participates_in
Amber,Song of the Dragon and Freedom,participates_in
Kaeya,Song of the Dragon and Freedom,participates_in
Paimon,Song of the Dragon and Freedom,participates_in
Barbara,Song of the Dragon and Freedom,participates_in
Fatui Agents,Song of the Dragon and Freedom,participates_in
Signora,Song of the Dragon and Freedom,participates_in
Fatui Cicin Electro Mages,Song of the Dragon and Freedom,participates_in
Venti,Gnosis,has
Holy Lyre der Himmel,Cathedral,occurs_in
Kaeya,Good Hunter,occurs_in
Jean,Traveler,knows
Traveler,Jean,knows
Venti,Gnosis,knows
Venti,Signora,knows
Venti,Fatui Harbingers,knows
Venti,Tsaritsa,knows
Venti,The Seven,knows
Signora,Fatui Harbingers,member_of
Fatui Harbingers,Snezhnaya,from
Tsaritsa,The Seven,member_of
Tsaritsa,Archon,has_attribute
Meeting with Venti,Windrise,occurs_in
Traveler,Meeting with Venti,participates_in
Jean,Meeting with Venti,participates_in
Venti,Meeting with Venti,participates_in
Rite of Descension,Liyue,occurs_in
Geo Archon,Rite of Descension,participates_in
Traveler,Childe,knows
Childe,Liyue Qixing,knows
Liyue Qixing,Rex's body,has
Paimon,The Seven,knows
Childe,The Seven,knows
Childe,Traveler,knows
Traveler,Meeting Childe,participates_in
Childe,Meeting Childe,participates_in
Paimon,Meeting Childe,participates_in
Baizhu,Qiqi,knows
Traveler,Everlasting Incense,has
Childe,mora,has
Childe,Ekaterina,knows
Qixing,Exuvia,has
Exuvia,Golden House,occurs_in
Zhongli,Traveler,knows
Zhongli,Third-Round Knockout,occurs_in
Iron Tongue Tian,Ningguang,knows
Ganyu,Ningguang,knows
Ganyu,Traveler,knows
Ningguang,Jade Chamber,occurs_in
Zhongli,Dihua Marsh,occurs_in
Traveler,Rite of Descension,participates_in
Zhongli,Geo Archon,plays_role
Zhongli,Northland Bank,occurs_in
Signora,Northland Bank,occurs_in
Childe,Northland Bank,occurs_in
Zhongli,Signora,knows
Zhongli,Childe,knows
Zhongli,Rite of Descension,participates_in
Zhongli,Tsaritsa,knows
Zhongli,Gnosis,has
Signora,Gnosis,has
Traveler,Rite of Parting,participates_in
Traveler,Osial,knows
Fatui,Liyue,opposes
Keqing,Traveler,knows
Traveler,Zhongli,knows
Zhongli,Inazuma,knows
Zhongli,Baal,knows
Baal,Vision Hunt Decree,has_attribute
Bough Keeper: Dainsleif,Prologue,plays_role
Bough Keeper: Dainsleif,Archon Quest Chapter I: Act IV - We Will Be Reunited,includes
Katheryne,City of Mondstadt,occurs_in
Traveler,Bough Keeper: Dainsleif,participates_in
Paimon,Bough Keeper: Dainsleif,participates_in
Dainsleif,Bough Keeper: Dainsleif,participates_in
Katheryne (Mondstadt),Bough Keeper: Dainsleif,participates_in
Charles,Bough Keeper: Dainsleif,participates_in
Wagner,Bough Keeper: Dainsleif,participates_in
Lawrence,Bough Keeper: Dainsleif,participates_in
Bough Keeper: Dainsleif,Mondstadt,occurs_in
A New Star Approaches,Bough Keeper: Dainsleif,before
Bough Keeper: Dainsleif,The Fond Farewell,before
Bough Keeper: Dainsleif,Involuntary Sacrifice,before
Abyssal Traces,Bough Keeper: Dainsleif,includes
Traveler,We Will Be Reunited,participates_in
We Will Be Reunited,Archon Quest,plays_role
We Will Be Reunited,Bough Keeper: Dainsleif,includes
We Will Be Reunited,Lupus Minor Chapter: Act I - The Meaning of Lupical,includes
Traveler,Paimon,knows
Traveler,Dainsleif,knows
Traveler,Ganyu,knows
Traveler,Lan,knows
Ganyu,Liyue Qixing,member_of
Lan,Liyue Qixing,member_of
Treasure Hoarders,Abyss Order,opposes
Traveler,Abyss Order,opposes
Traveler,Abyss Herald,opposes
Dainsleif,Abyss Order,opposes
Traveler,Barbara,knows
Traveler,Rosaria,knows
Traveler,Boreas,knows
Abyss Order,Liyue Qixing,opposes
Abyss Order,Adeptia,opposes
Osial,Liyue Qixing,opposes
Osial,Adeptia,opposes
Traveler,Dainsleif,knows
Sibling,Dainsleif,knows
Dainsleif,Twilight Sword,has_attribute
Dainsleif,Khaenri'ah,from
Dainsleif,Royal Guards,member_of
Sibling,Abyss Order,member_of
Traveler,Sibling,opposes
Paimon,Traveler,knows
Traveler,We Will Be Reunited,participates_in
We Will Be Reunited,Inazuma,occurs_in
Razor,Story Quest,has_attribute
Lupus Minor Chapter,Story Quest,plays_role
Razor,Lupus Minor Chapter,plays_role
Traveler,Lupus Minor Chapter,participates_in
Paimon,Lupus Minor Chapter,participates_in
Lupus Minor Chapter,Wolvendom,occurs_in
Traveler,Razor,knows
Paimon,Razor,knows
Razor,Wolf Pack,member_of
Traveler,Amber,knows
Traveler,Investigation,participates_in
Amber,Investigation,participates_in
Investigation,Drunkard Gorge,occurs_in
Investigation,Springvale,occurs_in
Amber,Razor,knows
Razor,Amber,knows
Black Wolf,Outside of Wolvendom,from
Black Wolf,Razor,opposes
