id,label
Traveler,Entity
The Outlander Who Caught the Wind,Entity
Wanderer's Trail,Entity
Teyvat,Entity
twin sibling,Entity
unknown entity,Entity
Traveler's twin sibling,Entity
Paimon,Entity
The Seven,Entity
Stormterror Incident,Entity
Starfell Lake,Entity
green dragon,Entity
stranger,Entity
crimson blood colored teardrop crystal,Entity
Amber,Entity
Knights of Favonius,Entity
Stormterror,Entity
rampaging,Entity
Kaeya,Entity
Cavalry Captain,Entity
Jean,Entity
Acting Grandmaster,Entity
Lisa,Entity
Knights' Librarian,Entity
Mondstadt,Entity
Adventure Rank,Entity
Progression System,Entity
Genshin Impact,Entity
Player,Entity
World Level,Entity
Ascension Quest,Entity
60,Entity
9,Entity
Rewards,Entity
Adventurers' Guild,Entity
Adventure EXP,Entity
Quests,Entity
Chests,Entity
Adventurer Handbook,Entity
Original Resin,Entity
Mora,Entity
Adventure Rank Ascension Quest,Entity
25,Entity
35,Entity
45,Entity
50,Entity
Enemies,Entity
Normal Bosses,Entity
Ley Line Outcrops,Entity
Andrius,Entity
Weekly Boss,Entity
World Level Ascension,Entity
Co-Op Mode,Entity
3,Entity
Profile,Entity
Ley Line Blossoms,Entity
24 hours,Entity
Game Systems,Entity
Characters,Entity
Ascension,Entity
Weapons,Entity
Character Ascension Phases,Entity
Weapon Ascension Phases,Entity
Adventurers' Guild Rewards,Entity
Katheryne,Entity
Song of the Dragon and Freedom,Entity
Quest,Entity
Prologue,Entity
Chapter,Entity
Act III,Entity
For a Tomorrow Without Tears,Entity
Of the Land Amidst Monoliths,Entity
Diluc,Entity
Abyss Order,Entity
Venti,Entity
Dvalin,Entity
ancient ruins,Entity
Teardrop Crystal,Entity
Hilichurls,Entity
Stormterror's Lair,Entity
Decarabian,Entity
Anemo Archon,Entity
Anemo power,Entity
single leader,Entity
Dvalin incident,Entity
Holy Lyre der Himmel,Entity
Holy Lyre der Himmel incident,Entity
Barbara,Entity
deaconess,Entity
Gnosis,Entity
Signora,Entity
Fatui,Entity
Fatui Agents,Entity
Tsaritsa,Entity
Geo Archon,Entity
Eleven Fatui Harbingers,Entity
Snezhnaya,Entity
Archon,Entity
Meeting with Venti,Entity
Windrise,Entity
Rite of Descension,Entity
Liyue,Entity
Childe,Entity
Liyue Qixing,Entity
Rex's body,Entity
"Farewell, Archaic Lord",Entity
Act II,Entity
Chapter I,Entity
A New Star Approaches,Entity
Jueyun Karst,Entity
Adepti,Entity
Exuvia,Entity
Zhongli,Entity
Wangsheng Funeral Parlor,Entity
Rex Lapis,Entity
Noctilucous Jade,Entity
Pyro affinity,Entity
Dadaupa Gorge,Entity
Shitou,Entity
Jade,Entity
Bolai,Entity
Silk Flowers,Entity
Ying'er,Entity
Madame Ping,Entity
Cleansing Bell,Entity
Granny Shan,Entity
Kites,Entity
Tic,Entity
Tac,Entity
Toe,Entity
Qiqi,Entity
Bubu Pharmacy,Entity
Guizhong Ballista,Entity
Mt. Tianheng,Entity
Treasure Hoarders,Entity
Baizhu,Entity
Everlasting Incense,Entity
mora,Entity
Ekaterina,Entity
Qixing,Entity
Golden House,Entity
Third-Round Knockout,Entity
Iron Tongue Tian,Entity
Ningguang,Entity
Ganyu,Entity
Jade Chamber,Entity
Dihua Marsh,Entity
Northland Bank,Entity
Rite of Parting,Entity
Osial,Entity
Keqing,Entity
Inazuma,Entity
sealed,Entity
Baal,Entity
Vision Hunt Decree,Entity
Bough Keeper: Dainsleif,Entity
prologue,Entity
Archon Quest Chapter I: Act IV - We Will Be Reunited,Entity
City of Mondstadt,Entity
Dainsleif,Entity
Katheryne (Mondstadt),Entity
Charles,Entity
Wagner,Entity
Lawrence,Entity
The Fond Farewell,Entity
Involuntary Sacrifice,Entity
Abyssal Traces,Entity
We Will Be Reunited,Entity
Act IV,Entity
"Autumn Winds, Scarlet Leaves",Entity
Lupus Minor Chapter: Act I - The Meaning of Lupical,Entity
Lan,Entity
Abyss Order heist investigation,Entity
Defiled Statue,Entity
inverted,Entity
Abyss Herald,Entity
Khaenri'ah,Entity
no gods,Entity
Ruin Guards,Entity
Abyss Mages,Entity
Rosaria,Entity
Wolvendom,Entity
Boreas,Entity
Field Tiller,Entity
Field Tiller's eye,Entity
Sibling,Entity
Twilight Sword,Entity
Immortality,Entity
Destiny,Entity
Herald,Entity
Portal,Entity
Razor,Entity
Story Quest,Entity
Lupus Minor Chapter,Entity
Wolf Pack,Entity
Raw Meat,Entity
Wolf attacks,Entity
Drunkard Gorge,Entity
Springvale,Entity
Wolfhook,Entity
Black Wolf,Entity
Outside Wolvendom,Entity
Wolfhook seeds,Entity
Outsiders,Entity
Human,Entity
Foreign wolf pack,Entity
Main Character,Entity
The Meaning of Lupical,Entity
Investigating wolf attacks,Entity
Finding injured wolf,Entity
Confronting Boreas,Entity
Prologue: Act III - Song of the Dragon and Freedom,Entity
"Lepus Chapter: Act I - Wind, Courage, and Wings",Entity
Lack of social skills,Entity
Wolfhook Seeds,Entity
Chapter II,Entity
The Immovable God and the Eternal Euthymia,Entity
Liyue Harbor,Entity
Unknown God,Entity
Atsuko,Entity
strict isolationist policies,Entity
Beidou,Entity
The Crux,Entity
Alcor,Entity
The Crux Fleet,Entity
Guyun Stone Forest,Entity
Kazuha,Entity
The Crux Clash,Entity
Vision-less martial arts tournament,Entity
Masterless Vision,Entity
Zhuhan,Entity
ancient god,Entity
Jinyou,Entity
Rongshi,Entity
Slimes,Entity
Electro Archon,Entity
Fei the Flyer,Entity
Culprit,Entity
Tournament,Entity
Vision,Entity
Raiden Shogun,Entity
Kazuha's Friend,Entity
Archon Quest,Entity
"Stillness, the Sublimation of Shadow",Entity
Thoma,Entity
Kurisu,Entity
Werner,Entity
Keijirou,Entity
Harrison,Entity
Katsuie,Entity
Kamisato Ayaka,Entity
Hiiragi Shinsuke,Entity
Miss Hirai,Entity
Kujou Kamaji,Entity
Liyue's guild branch,Entity
Sea Drake,Entity
Sakoku Decree,Entity
International Trade Association,Entity
Kanjou Commission,Entity
Yashiro Commission,Entity
Kamisato Clan,Entity
Tenryou Commission,Entity
Crystal Marrow,Entity
item,Entity
currency,Entity
Meeting with Thoma,Entity
Ritou,Entity
Guide,Entity
Visiting Statue of the Omnipresent God,Entity
Statue of the Omnipresent God,Entity
Inazuma City,Entity
Under Construction,Entity
Declared Vision Hunt Decree,Entity
Seized Visions,Entity
Meeting with Ayaka,Entity
Ayaka,Entity
Kamisato Residence,Entity
Helping Visionless Individuals,Entity
Tejima,Entity
Konda Village,Entity
Visionless Samurai,Entity
Investigating Kurosawa Kyounosuke,Entity
Kurosawa Kyounosuke,Entity
Stolen Rations,Entity
Aoi,Entity
Tsukumomono Groceries,Entity
Helping Domon,Entity
Domon,Entity
Visionless Swordmaster,Entity
Anzai,Entity
Former Disciple,Entity
Inagi Hotomi,Entity
Maiden,Entity
Demon,Entity
Possessed,Entity
Lady Yae,Entity
Unusual Case,Entity
Yae,Entity
Domon's Possession,Entity
Immense Aspirations,Entity
Maniacal,Entity
Passed Aspirations,Entity
Disciples,Entity
Former Vision Bearers,Entity
Resistance,Entity
Creating Fake Visions,Entity
Master Masakatsu,Entity
Arrested,Entity
Naganohara Fireworks,Entity
Vision Bearer,Entity
Yoimiya,Entity
Fireworks,Entity
Masakatsu,Entity
Police Station,Entity
Kujou Sara,Entity
Gift,Entity
Ceremony,Entity
Hot Pot Game,Entity
Omnipresence Over Mortals,Entity
Teppei,Entity
Gorou,Entity
Sangonomiya Kokomi,Entity
Kaedehara Kazuha,Entity
Komore Teahouse,Entity
Watatsumi Island,Entity
Watatsumi Army,Entity
Shogun's Army,Entity
Grus Nivis Chapter: Act I - The Whispers of the Crane and the White Rabbit,Entity
Carassius Auratus Chapter: Act I - Dreamlike Timelessness,Entity
Grus Nivis Chapter,Entity
Quest Chapter,Entity
Tsubaki,Entity
Kimono,Entity
Ogura Mio,Entity
Ogura Textiles & Kimonos,Entity
Impact on Silk Trade,Entity
High-quality Silk,Entity
Ritouso,Entity
Authority,Entity
Ronin,Entity
Stolen Silk,Entity
Silk,Entity
Kiminami Anna,Entity
Kiminami Restaurant,Entity
Culinary Skills,Entity
Mushroom Pizza,Entity
Dish,Entity
Fox Envoy,Entity
Tenshukaku,Entity
Location,Entity
Mother,Entity
White Heron Hairpiece,Entity
Amakane Island Festival,Entity
Amakane Island,Entity
Sudden appearance,Entity
Merchants,Entity
Reunite with their sibling,Entity
Dance,Entity
Way back to Kamisato Residence,Entity
Grus Nivis,Entity
The Whispers of the Crane and the White Rabbit,Entity
restricting silk trade,Entity
easy to make,Entity
recipe for Mushroom Pizza,Entity
fox envoy,Entity
white heron hairpiece,Entity
Chapter II: Act I - The Immovable God and the Eternal Euthymia,Entity
Ayaka's Story Quest,Entity
Ayaka's Mother,Entity
Notebook,Entity
Box,Entity
Carassius Auratus Chapter,Entity
Character,Entity
Ryuunosuke,Entity
Yoimiya's Father,Entity
Sakujirou,Entity
Kouichi,Entity
Law,Entity
Imatani Couple,Entity
Satoru,Entity
Keisuke,Entity
Yoshitaka,Entity
Firework Show,Entity
Naganohara Ryuunosuke,Entity
Desire to travel,Entity
Rtawahist,Entity
Meteor Shower,Entity
Sumeru,Entity
Akademiya,Entity
Sumeru City,Entity
Aranara,Entity
Fayez,Entity
Aranara Carvings,Entity
Azar,Entity
Layla,Entity
Alhaitham,Entity
Nahida,Entity
Avin,Entity
Meteor Shower Wish Quest,Entity
Ahangar,Entity
Urstone,Entity
legendary,Entity
Farid,Entity
Corps of Thirty,Entity
Niousha,Entity
ill,Entity
Arashani,Entity
Arapurva,Entity
Mawtiyima Forest,Entity
Lens,Entity
Port Ormos,Entity
Aranara Carving,Entity
Carassius Auratus,Entity
Dreamlike Timelessness,Entity
Act I,Entity
deaf,Entity
Imatani couple,Entity
Duel,Entity
Firework,Entity
Order Slip,Entity
Golden Firework,Entity
Archon Quests,Entity
Requiem of the Echoing Depths,Entity
Adventure Rank 30,Entity
Meeting with Sangonomiya Kokomi,Entity
Inazuma Shogunate,Entity
Swordfish II,Entity
Fort Mumei,Entity
Bourou Village,Entity
Special Operations Unit,Entity
Tatarigami,Entity
Orobashi,Entity
God of Watatsumi Island,Entity
Ei,Entity
Archon War,Entity
Narukami Island,Entity
Delusion,Entity
Nathan,Entity
The Balladeer,Entity
Yae Miko,Entity
Grand Narukami Shrine,Entity
Plane of Euthymia,Entity
Kujou Takayuki,Entity
Kujou Clan,Entity
Sayu,Entity
Shuumatsuban,Entity
Infiltration of Tenryou Commission,Entity
Shogun,Entity
Musou no Hitotachi,Entity
Visions,Entity
Makoto,Entity
Electro Gnosis,Entity
lack of a Vision,Entity
Lesser Lord Kusanali,Entity
Traveler's lack of Vision,Entity
